candidate,a_value,b_value,product,d_value,quotient,product_digit_tier,a_decade,nonzero_digit_count_a,factor_ratio
C13,34,4,136,4,34,3,3,2,8.5
C13,47,4,188,4,47,3,4,2,11.75
C13,86,7,602,7,86,3,8,2,12.2857
C13,44,9,396,9,44,3,4,2,4.8889
C13,80,6,480,6,80,3,8,1,13.3333
C13,58,2,116,2,58,3,5,2,29.0
C13,55,9,495,9,55,3,5,2,6.1111
C13,59,7,413,7,59,3,5,2,8.4286
C13,20,6,120,6,20,3,2,1,3.3333
C13,30,4,120,4,30,3,3,1,7.5
C13,71,9,639,9,71,3,7,2,7.8889
C13,93,6,558,6,93,3,9,2,15.5
C13,57,6,342,6,57,3,5,2,9.5
C13,90,5,450,5,90,3,9,1,18.0
C13,65,2,130,2,65,3,6,2,32.5
C13,71,4,284,4,71,3,7,2,17.75
C13,95,2,190,2,95,3,9,2,47.5
C13,67,4,268,4,67,3,6,2,16.75
C13,52,4,208,4,52,3,5,2,13.0
C13,62,4,248,4,62,3,6,2,15.5
C13,38,9,342,9,38,3,3,2,4.2222
C13,39,7,273,7,39,3,3,2,5.5714
C13,14,2,28,2,14,2,1,2,7.0
C13,16,6,96,6,16,2,1,2,2.6667
C13,45,5,225,5,45,3,4,2,9.0
C13,31,8,248,8,31,3,3,2,3.875
C13,19,8,152,8,19,3,1,2,2.375
C13,92,5,460,5,92,3,9,2,18.4
C13,80,6,480,6,80,3,8,1,13.3333
C13,54,6,324,6,54,3,5,2,9.0
C13,15,9,135,9,15,3,1,2,1.6667
C13,39,8,312,8,39,3,3,2,4.875
C13,66,6,396,6,66,3,6,2,11.0
C13,41,5,205,5,41,3,4,2,8.2
C13,48,9,432,9,48,3,4,2,5.3333
C13,70,7,490,7,70,3,7,1,10.0
C13,11,6,66,6,11,2,1,2,1.8333
C13,75,7,525,7,75,3,7,2,10.7143
C13,28,4,112,4,28,3,2,2,7.0
C13,51,8,408,8,51,3,5,2,6.375
C13,88,3,264,3,88,3,8,2,29.3333
C13,73,3,219,3,73,3,7,2,24.3333
C13,29,5,145,5,29,3,2,2,5.8
C13,40,5,200,5,40,3,4,1,8.0
C13,18,7,126,7,18,3,1,2,2.5714
C13,66,3,198,3,66,3,6,2,22.0
C13,84,4,336,4,84,3,8,2,21.0
C13,70,7,490,7,70,3,7,1,10.0
C13,23,3,69,3,23,2,2,2,7.6667
C13,75,3,225,3,75,3,7,2,25.0
C13,20,7,140,7,20,3,2,1,2.8571
C13,76,5,380,5,76,3,7,2,15.2
C13,30,3,90,3,30,2,3,1,10.0
C13,43,9,387,9,43,3,4,2,4.7778
C13,22,8,176,8,22,3,2,2,2.75
C13,70,6,420,6,70,3,7,1,11.6667
C13,62,7,434,7,62,3,6,2,8.8571
C13,15,7,105,7,15,3,1,2,2.1429
C13,74,4,296,4,74,3,7,2,18.5
C13,99,7,693,7,99,3,9,2,14.1429
C13,81,4,324,4,81,3,8,2,20.25
C13,72,9,648,9,72,3,7,2,8.0
C13,19,6,114,6,19,3,1,2,3.1667
C13,76,4,304,4,76,3,7,2,19.0
C13,59,7,413,7,59,3,5,2,8.4286
C13,13,6,78,6,13,2,1,2,2.1667
C13,16,4,64,4,16,2,1,2,4.0
C13,59,8,472,8,59,3,5,2,7.375
C13,37,6,222,6,37,3,3,2,6.1667
C13,48,4,192,4,48,3,4,2,12.0
C13,99,4,396,4,99,3,9,2,24.75
C13,50,2,100,2,50,3,5,1,25.0
C13,18,6,108,6,18,3,1,2,3.0
C13,87,3,261,3,87,3,8,2,29.0
C13,78,5,390,5,78,3,7,2,15.6
C13,64,2,128,2,64,3,6,2,32.0
C13,35,3,105,3,35,3,3,2,11.6667
C13,47,7,329,7,47,3,4,2,6.7143
C13,14,3,42,3,14,2,1,2,4.6667
C13,21,2,42,2,21,2,2,2,10.5
C13,55,5,275,5,55,3,5,2,11.0
C13,34,7,238,7,34,3,3,2,4.8571
C13,20,8,160,8,20,3,2,1,2.5
C13,52,3,156,3,52,3,5,2,17.3333
C13,76,9,684,9,76,3,7,2,8.4444
C13,69,8,552,8,69,3,6,2,8.625
C13,61,9,549,9,61,3,6,2,6.7778
C13,52,7,364,7,52,3,5,2,7.4286
C13,72,5,360,5,72,3,7,2,14.4
C13,34,9,306,9,34,3,3,2,3.7778
C13,28,8,224,8,28,3,2,2,3.5
C13,57,8,456,8,57,3,5,2,7.125
C13,51,5,255,5,51,3,5,2,10.2
C13,58,8,464,8,58,3,5,2,7.25
C13,16,6,96,6,16,2,1,2,2.6667
C13,21,2,42,2,21,2,2,2,10.5
C13,70,9,630,9,70,3,7,1,7.7778
C13,70,8,560,8,70,3,7,1,8.75
C13,85,6,510,6,85,3,8,2,14.1667
C13,62,5,310,5,62,3,6,2,12.4
C13,90,9,810,9,90,3,9,1,10.0
C13,47,3,141,3,47,3,4,2,15.6667
C13,72,4,288,4,72,3,7,2,18.0
C13,67,6,402,6,67,3,6,2,11.1667
C13,36,4,144,4,36,3,3,2,9.0
C13,24,2,48,2,24,2,2,2,12.0
C13,10,4,40,4,10,2,1,1,2.5
C13,63,2,126,2,63,3,6,2,31.5
C13,25,7,175,7,25,3,2,2,3.5714
C13,94,4,376,4,94,3,9,2,23.5
C13,37,2,74,2,37,2,3,2,18.5
C13,10,7,70,7,10,2,1,1,1.4286
C13,58,9,522,9,58,3,5,2,6.4444
C13,13,3,39,3,13,2,1,2,4.3333
C13,20,3,60,3,20,2,2,1,6.6667
C13,65,7,455,7,65,3,6,2,9.2857
C13,58,7,406,7,58,3,5,2,8.2857
C13,68,6,408,6,68,3,6,2,11.3333
C13,23,8,184,8,23,3,2,2,2.875
C13,58,5,290,5,58,3,5,2,11.6
C13,93,2,186,2,93,3,9,2,46.5
C13,22,3,66,3,22,2,2,2,7.3333
C13,22,5,110,5,22,3,2,2,4.4
C13,91,2,182,2,91,3,9,2,45.5
C13,32,7,224,7,32,3,3,2,4.5714
C13,53,2,106,2,53,3,5,2,26.5
C13,46,2,92,2,46,2,4,2,23.0
C13,79,9,711,9,79,3,7,2,8.7778
C13,63,3,189,3,63,3,6,2,21.0
C13,51,6,306,6,51,3,5,2,8.5
C13,39,7,273,7,39,3,3,2,5.5714
C13,99,4,396,4,99,3,9,2,24.75
C13,86,6,516,6,86,3,8,2,14.3333
C13,51,8,408,8,51,3,5,2,6.375
C13,43,2,86,2,43,2,4,2,21.5
C13,80,7,560,7,80,3,8,1,11.4286
C13,70,7,490,7,70,3,7,1,10.0
C13,80,2,160,2,80,3,8,1,40.0
C13,60,3,180,3,60,3,6,1,20.0
C13,40,2,80,2,40,2,4,1,20.0
C13,22,6,132,6,22,3,2,2,3.6667
C13,53,8,424,8,53,3,5,2,6.625
C13,42,5,210,5,42,3,4,2,8.4
C13,52,7,364,7,52,3,5,2,7.4286
C13,10,6,60,6,10,2,1,1,1.6667
C13,31,8,248,8,31,3,3,2,3.875
C13,41,2,82,2,41,2,4,2,20.5
C13,80,2,160,2,80,3,8,1,40.0
C13,75,9,675,9,75,3,7,2,8.3333
C13,84,9,756,9,84,3,8,2,9.3333
C13,85,5,425,5,85,3,8,2,17.0
C13,19,3,57,3,19,2,1,2,6.3333
C13,81,6,486,6,81,3,8,2,13.5
C13,49,9,441,9,49,3,4,2,5.4444
C13,97,9,873,9,97,3,9,2,10.7778
C13,76,7,532,7,76,3,7,2,10.8571
C13,92,4,368,4,92,3,9,2,23.0
C13,81,2,162,2,81,3,8,2,40.5
C13,60,6,360,6,60,3,6,1,10.0
C13,55,4,220,4,55,3,5,2,13.75
C13,62,4,248,4,62,3,6,2,15.5
C13,90,2,180,2,90,3,9,1,45.0
C13,69,2,138,2,69,3,6,2,34.5
C13,65,4,260,4,65,3,6,2,16.25
C13,76,8,608,8,76,3,7,2,9.5
C13,24,2,48,2,24,2,2,2,12.0
C13,83,7,581,7,83,3,8,2,11.8571
C13,89,7,623,7,89,3,8,2,12.7143
C13,76,6,456,6,76,3,7,2,12.6667
C13,17,6,102,6,17,3,1,2,2.8333
C13,59,6,354,6,59,3,5,2,9.8333
C13,30,4,120,4,30,3,3,1,7.5
C13,86,5,430,5,86,3,8,2,17.2
C13,15,3,45,3,15,2,1,2,5.0
C13,30,8,240,8,30,3,3,1,3.75
C13,72,3,216,3,72,3,7,2,24.0
C13,13,7,91,7,13,2,1,2,1.8571
C13,14,9,126,9,14,3,1,2,1.5556
C13,39,2,78,2,39,2,3,2,19.5
C13,63,7,441,7,63,3,6,2,9.0
C13,44,7,308,7,44,3,4,2,6.2857
C13,27,3,81,3,27,2,2,2,9.0
C13,31,4,124,4,31,3,3,2,7.75
C13,66,8,528,8,66,3,6,2,8.25
C13,44,2,88,2,44,2,4,2,22.0
C13,66,2,132,2,66,3,6,2,33.0
C13,59,5,295,5,59,3,5,2,11.8
C13,29,2,58,2,29,2,2,2,14.5
C13,71,3,213,3,71,3,7,2,23.6667
C13,27,8,216,8,27,3,2,2,3.375
C13,55,3,165,3,55,3,5,2,18.3333
C13,15,6,90,6,15,2,1,2,2.5
C13,77,4,308,4,77,3,7,2,19.25
C13,43,9,387,9,43,3,4,2,4.7778
C13,16,6,96,6,16,2,1,2,2.6667
C13,86,5,430,5,86,3,8,2,17.2
C13,24,3,72,3,24,2,2,2,8.0
C13,60,6,360,6,60,3,6,1,10.0
C13,12,5,60,5,12,2,1,2,2.4
C13,22,7,154,7,22,3,2,2,3.1429
C13,26,9,234,9,26,3,2,2,2.8889
C13,80,6,480,6,80,3,8,1,13.3333
C13,42,7,294,7,42,3,4,2,6.0
C13,21,3,63,3,21,2,2,2,7.0
C13,95,9,855,9,95,3,9,2,10.5556
C13,27,9,243,9,27,3,2,2,3.0
C13,66,8,528,8,66,3,6,2,8.25
C13,10,4,40,4,10,2,1,1,2.5
C13,73,2,146,2,73,3,7,2,36.5
C13,69,4,276,4,69,3,6,2,17.25
C13,79,9,711,9,79,3,7,2,8.7778
C13,93,6,558,6,93,3,9,2,15.5
C13,11,5,55,5,11,2,1,2,2.2
C13,64,4,256,4,64,3,6,2,16.0
C13,32,2,64,2,32,2,3,2,16.0
C13,44,3,132,3,44,3,4,2,14.6667
C13,11,8,88,8,11,2,1,2,1.375
C13,69,2,138,2,69,3,6,2,34.5
C13,99,5,495,5,99,3,9,2,19.8
C13,46,3,138,3,46,3,4,2,15.3333
C13,83,3,249,3,83,3,8,2,27.6667
C13,15,3,45,3,15,2,1,2,5.0
C13,33,5,165,5,33,3,3,2,6.6
C13,90,2,180,2,90,3,9,1,45.0
C13,40,6,240,6,40,3,4,1,6.6667
C13,77,4,308,4,77,3,7,2,19.25
C13,82,4,328,4,82,3,8,2,20.5
C13,51,7,357,7,51,3,5,2,7.2857
C13,82,8,656,8,82,3,8,2,10.25
C13,53,5,265,5,53,3,5,2,10.6
C13,61,8,488,8,61,3,6,2,7.625
C13,62,5,310,5,62,3,6,2,12.4
C13,99,7,693,7,99,3,9,2,14.1429
C13,14,6,84,6,14,2,1,2,2.3333
C13,41,5,205,5,41,3,4,2,8.2
C13,16,4,64,4,16,2,1,2,4.0
C13,21,8,168,8,21,3,2,2,2.625
C13,61,4,244,4,61,3,6,2,15.25
C13,16,2,32,2,16,2,1,2,8.0
C13,49,6,294,6,49,3,4,2,8.1667
C13,54,7,378,7,54,3,5,2,7.7143
C13,36,9,324,9,36,3,3,2,4.0
C13,26,6,156,6,26,3,2,2,4.3333
C13,17,8,136,8,17,3,1,2,2.125
C13,50,2,100,2,50,3,5,1,25.0
C13,15,8,120,8,15,3,1,2,1.875
C13,70,9,630,9,70,3,7,1,7.7778
C13,25,9,225,9,25,3,2,2,2.7778
C13,84,8,672,8,84,3,8,2,10.5
C13,77,8,616,8,77,3,7,2,9.625
C13,83,5,415,5,83,3,8,2,16.6
C13,25,7,175,7,25,3,2,2,3.5714
C13,33,9,297,9,33,3,3,2,3.6667
C13,15,3,45,3,15,2,1,2,5.0
C13,34,5,170,5,34,3,3,2,6.8
C13,76,6,456,6,76,3,7,2,12.6667
C13,39,3,117,3,39,3,3,2,13.0
C13,45,9,405,9,45,3,4,2,5.0
C13,49,8,392,8,49,3,4,2,6.125
C13,24,3,72,3,24,2,2,2,8.0
C13,70,4,280,4,70,3,7,1,17.5
C13,60,7,420,7,60,3,6,1,8.5714
C13,24,3,72,3,24,2,2,2,8.0
C13,29,4,116,4,29,3,2,2,7.25
C13,33,9,297,9,33,3,3,2,3.6667
C13,81,6,486,6,81,3,8,2,13.5
C13,78,5,390,5,78,3,7,2,15.6
C13,87,9,783,9,87,3,8,2,9.6667
C13,98,5,490,5,98,3,9,2,19.6
C13,98,8,784,8,98,3,9,2,12.25
C13,67,9,603,9,67,3,6,2,7.4444
C13,42,7,294,7,42,3,4,2,6.0
C13,56,6,336,6,56,3,5,2,9.3333
C13,25,5,125,5,25,3,2,2,5.0
C13,49,6,294,6,49,3,4,2,8.1667
C13,29,4,116,4,29,3,2,2,7.25
C13,90,3,270,3,90,3,9,1,30.0
C13,77,2,154,2,77,3,7,2,38.5
C13,12,9,108,9,12,3,1,2,1.3333
C13,54,5,270,5,54,3,5,2,10.8
C13,91,8,728,8,91,3,9,2,11.375
C13,96,8,768,8,96,3,9,2,12.0
C13,68,8,544,8,68,3,6,2,8.5
C13,92,7,644,7,92,3,9,2,13.1429
C13,38,2,76,2,38,2,3,2,19.0
C13,69,2,138,2,69,3,6,2,34.5
C13,10,9,90,9,10,2,1,1,1.1111
C13,57,4,228,4,57,3,5,2,14.25
C13,13,6,78,6,13,2,1,2,2.1667
C13,81,6,486,6,81,3,8,2,13.5
C13,18,8,144,8,18,3,1,2,2.25
C13,56,9,504,9,56,3,5,2,6.2222
C13,31,9,279,9,31,3,3,2,3.4444
C13,36,8,288,8,36,3,3,2,4.5
C13,70,5,350,5,70,3,7,1,14.0
C13,86,8,688,8,86,3,8,2,10.75
C13,41,7,287,7,41,3,4,2,5.8571
C13,54,3,162,3,54,3,5,2,18.0
C13,44,5,220,5,44,3,4,2,8.8
C13,91,4,364,4,91,3,9,2,22.75
C13,18,4,72,4,18,2,1,2,4.5
C13,92,3,276,3,92,3,9,2,30.6667
C13,42,8,336,8,42,3,4,2,5.25
C13,98,5,490,5,98,3,9,2,19.6
C13,68,2,136,2,68,3,6,2,34.0
C13,76,4,304,4,76,3,7,2,19.0
C13,72,8,576,8,72,3,7,2,9.0
C13,67,9,603,9,67,3,6,2,7.4444
C13,40,4,160,4,40,3,4,1,10.0
C13,28,9,252,9,28,3,2,2,3.1111
C13,33,5,165,5,33,3,3,2,6.6
C13,36,7,252,7,36,3,3,2,5.1429
C13,87,8,696,8,87,3,8,2,10.875
C13,44,6,264,6,44,3,4,2,7.3333
C13,21,2,42,2,21,2,2,2,10.5
C13,83,3,249,3,83,3,8,2,27.6667
C13,37,9,333,9,37,3,3,2,4.1111
C13,77,8,616,8,77,3,7,2,9.625
C13,71,8,568,8,71,3,7,2,8.875
C13,59,4,236,4,59,3,5,2,14.75
C13,81,7,567,7,81,3,8,2,11.5714
C13,92,6,552,6,92,3,9,2,15.3333
C13,74,2,148,2,74,3,7,2,37.0
C13,93,7,651,7,93,3,9,2,13.2857
C13,18,2,36,2,18,2,1,2,9.0
C13,45,6,270,6,45,3,4,2,7.5
C13,41,2,82,2,41,2,4,2,20.5
C13,13,9,117,9,13,3,1,2,1.4444
C13,38,7,266,7,38,3,3,2,5.4286
C13,71,4,284,4,71,3,7,2,17.75
C13,22,9,198,9,22,3,2,2,2.4444
C13,54,4,216,4,54,3,5,2,13.5
C13,77,2,154,2,77,3,7,2,38.5
C13,59,9,531,9,59,3,5,2,6.5556
C13,58,6,348,6,58,3,5,2,9.6667
C13,52,5,260,5,52,3,5,2,10.4
C13,49,2,98,2,49,2,4,2,24.5
C13,33,4,132,4,33,3,3,2,8.25
C13,99,9,891,9,99,3,9,2,11.0
C13,87,8,696,8,87,3,8,2,10.875
C13,67,6,402,6,67,3,6,2,11.1667
C13,33,3,99,3,33,2,3,2,11.0
C13,14,4,56,4,14,2,1,2,3.5
C13,89,9,801,9,89,3,8,2,9.8889
C13,52,6,312,6,52,3,5,2,8.6667
C13,67,2,134,2,67,3,6,2,33.5
C13,56,9,504,9,56,3,5,2,6.2222
C13,68,9,612,9,68,3,6,2,7.5556
C13,95,4,380,4,95,3,9,2,23.75
C13,82,3,246,3,82,3,8,2,27.3333
C13,20,4,80,4,20,2,2,1,5.0
C13,94,3,282,3,94,3,9,2,31.3333
C13,68,4,272,4,68,3,6,2,17.0
C13,53,3,159,3,53,3,5,2,17.6667
C13,26,3,78,3,26,2,2,2,8.6667
C13,63,9,567,9,63,3,6,2,7.0
C13,51,9,459,9,51,3,5,2,5.6667
C13,23,8,184,8,23,3,2,2,2.875
C13,67,6,402,6,67,3,6,2,11.1667
C13,34,7,238,7,34,3,3,2,4.8571
C13,12,4,48,4,12,2,1,2,3.0
C13,29,4,116,4,29,3,2,2,7.25
C13,94,7,658,7,94,3,9,2,13.4286
C13,79,2,158,2,79,3,7,2,39.5
C13,23,7,161,7,23,3,2,2,3.2857
C13,92,6,552,6,92,3,9,2,15.3333
C13,58,2,116,2,58,3,5,2,29.0
C13,46,4,184,4,46,3,4,2,11.5
C13,13,7,91,7,13,2,1,2,1.8571
C13,47,6,282,6,47,3,4,2,7.8333
C13,81,8,648,8,81,3,8,2,10.125
C13,77,7,539,7,77,3,7,2,11.0
C13,97,3,291,3,97,3,9,2,32.3333
C13,35,7,245,7,35,3,3,2,5.0
C13,20,2,40,2,20,2,2,1,10.0
C13,33,4,132,4,33,3,3,2,8.25
C13,12,4,48,4,12,2,1,2,3.0
C13,73,9,657,9,73,3,7,2,8.1111
C13,91,2,182,2,91,3,9,2,45.5
C13,20,2,40,2,20,2,2,1,10.0
C13,98,4,392,4,98,3,9,2,24.5
C13,54,4,216,4,54,3,5,2,13.5
C13,23,8,184,8,23,3,2,2,2.875
C13,99,6,594,6,99,3,9,2,16.5
C13,95,4,380,4,95,3,9,2,23.75
C13,92,2,184,2,92,3,9,2,46.0
C13,74,9,666,9,74,3,7,2,8.2222
C13,80,7,560,7,80,3,8,1,11.4286
C13,99,8,792,8,99,3,9,2,12.375
C13,54,7,378,7,54,3,5,2,7.7143
C13,52,2,104,2,52,3,5,2,26.0
C13,36,3,108,3,36,3,3,2,12.0
C13,52,4,208,4,52,3,5,2,13.0
C13,84,6,504,6,84,3,8,2,14.0
C13,12,7,84,7,12,2,1,2,1.7143
C13,85,4,340,4,85,3,8,2,21.25
C13,88,8,704,8,88,3,8,2,11.0
C13,23,3,69,3,23,2,2,2,7.6667
C13,52,9,468,9,52,3,5,2,5.7778
C13,37,4,148,4,37,3,3,2,9.25
C13,70,9,630,9,70,3,7,1,7.7778
C13,11,7,77,7,11,2,1,2,1.5714
C13,17,3,51,3,17,2,1,2,5.6667
C13,98,4,392,4,98,3,9,2,24.5
C13,69,5,345,5,69,3,6,2,13.8
