candidate,op,tier,a,b,result,operand_digit_tier_a,operand_digit_tier_b,result_digit_tier,active_columns,carry_count,borrow_count,borrow_chain_length,operand_closeness,c_over_d_ratio
C12,add,2,54,84,138,2,2,3,2,1,,,0.6429,0.6429
C12,add,3,646,823,1469,3,3,4,3,1,,,0.7849,0.7849
C12,sub,4,4549,3748,801,4,4,3,4,,1,1,0.8239,0.2137
C12,sub,2,68,51,17,2,2,2,2,,0,0,0.75,0.3333
C12,sub,2,97,39,58,2,2,2,2,,1,1,0.4021,1.4872
C12,add,4,3207,5449,8656,4,4,4,4,1,,,0.5885,0.5885
C12,add,3,497,890,1387,3,3,4,3,2,,,0.5584,0.5584
C12,sub,4,9030,5074,3956,4,4,4,4,,3,3,0.5619,0.7797
C12,sub,2,43,28,15,2,2,2,2,,1,1,0.6512,0.5357
C12,sub,2,83,45,38,2,2,2,2,,1,1,0.5422,0.8444
C12,sub,2,64,48,16,2,2,2,2,,1,1,0.75,0.3333
C12,sub,4,6147,6097,50,4,4,2,4,,1,1,0.9919,0.0082
C12,sub,2,41,30,11,2,2,2,2,,0,0,0.7317,0.3667
C12,sub,3,950,502,448,3,3,3,3,,1,1,0.5284,0.8924
C12,add,2,13,29,42,2,2,2,2,1,,,0.4483,0.4483
C12,sub,3,951,630,321,3,3,3,3,,0,0,0.6625,0.5095
C12,sub,4,9283,2999,6284,4,4,4,4,,3,3,0.3231,2.0954
C12,add,3,513,245,758,3,3,3,3,0,,,0.4776,2.0939
C12,sub,4,1781,1574,207,4,4,3,4,,1,1,0.8838,0.1315
C12,add,3,116,209,325,3,3,3,3,1,,,0.555,0.555
C12,sub,3,752,618,134,3,3,3,3,,1,1,0.8218,0.2168
C12,sub,4,8301,3814,4487,4,4,4,4,,3,3,0.4595,1.1765
C12,add,2,31,36,67,2,2,2,2,0,,,0.8611,0.8611
C12,sub,2,72,10,62,2,2,2,2,,0,0,0.1389,6.2
C12,add,3,356,390,746,3,3,3,3,1,,,0.9128,0.9128
C12,sub,4,9024,4601,4423,4,4,4,4,,1,1,0.5099,0.9613
C12,add,2,57,92,149,2,2,3,2,1,,,0.6196,0.6196
C12,add,4,5573,1328,6901,4,4,4,4,2,,,0.2383,4.1965
C12,add,3,305,428,733,3,3,3,3,1,,,0.7126,0.7126
C12,add,4,5679,2859,8538,4,4,4,4,3,,,0.5034,1.9864
C12,sub,2,48,24,24,2,2,2,2,,0,0,0.5,1.0
C12,add,3,863,183,1046,3,3,4,3,2,,,0.2121,4.7158
C12,sub,3,208,113,95,3,3,2,3,,1,1,0.5433,0.8407
C12,sub,2,89,11,78,2,2,2,2,,0,0,0.1236,7.0909
C12,add,4,1250,2282,3532,4,4,4,4,1,,,0.5478,0.5478
C12,sub,4,7691,4843,2848,4,4,4,4,,2,2,0.6297,0.5881
C12,add,4,4399,1886,6285,4,4,4,4,3,,,0.4287,2.3324
C12,sub,2,98,30,68,2,2,2,2,,0,0,0.3061,2.2667
C12,sub,3,972,146,826,3,3,3,3,,1,1,0.1502,5.6575
C12,sub,2,76,31,45,2,2,2,2,,0,0,0.4079,1.4516
C12,add,2,23,58,81,2,2,2,2,1,,,0.3966,0.3966
C12,sub,4,5756,4242,1514,4,4,4,4,,0,0,0.737,0.3569
C12,add,2,48,19,67,2,2,2,2,1,,,0.3958,2.5263
C12,add,3,278,446,724,3,3,3,3,2,,,0.6233,0.6233
C12,sub,3,886,538,348,3,3,3,3,,1,1,0.6072,0.6468
C12,sub,4,8850,3755,5095,4,4,4,4,,2,2,0.4243,1.3569
C12,sub,3,408,189,219,3,3,3,3,,2,2,0.4632,1.1587
C12,add,3,603,633,1236,3,3,4,3,1,,,0.9526,0.9526
C12,add,2,58,21,79,2,2,2,2,0,,,0.3621,2.7619
C12,add,3,446,873,1319,3,3,4,3,2,,,0.5109,0.5109
C12,add,4,5206,4359,9565,4,4,4,4,1,,,0.8373,1.1943
C12,add,3,420,871,1291,3,3,4,3,1,,,0.4822,0.4822
C12,add,2,87,10,97,2,2,2,2,0,,,0.1149,8.7
C12,add,2,16,23,39,2,2,2,2,0,,,0.6957,0.6957
C12,sub,4,5387,1315,4072,4,4,4,4,,0,0,0.2441,3.0966
C12,add,3,192,604,796,3,3,3,3,0,,,0.3179,0.3179
C12,sub,4,7639,2537,5102,4,4,4,4,,0,0,0.3321,2.011
C12,add,4,1788,1847,3635,4,4,4,4,3,,,0.9681,0.9681
C12,add,3,613,935,1548,3,3,4,3,1,,,0.6556,0.6556
C12,add,2,49,20,69,2,2,2,2,0,,,0.4082,2.45
C12,add,2,33,43,76,2,2,2,2,0,,,0.7674,0.7674
C12,sub,3,803,152,651,3,3,3,3,,1,1,0.1893,4.2829
C12,add,3,657,744,1401,3,3,4,3,3,,,0.8831,0.8831
C12,add,2,53,87,140,2,2,3,2,2,,,0.6092,0.6092
C12,sub,4,9531,7621,1910,4,4,4,4,,1,1,0.7996,0.2506
C12,sub,4,8078,3299,4779,4,4,4,4,,3,3,0.4084,1.4486
C12,sub,2,70,41,29,2,2,2,2,,1,1,0.5857,0.7073
C12,sub,4,5508,3939,1569,4,4,4,4,,3,3,0.7151,0.3983
C12,sub,2,87,54,33,2,2,2,2,,0,0,0.6207,0.6111
C12,sub,3,334,314,20,3,3,2,3,,0,0,0.9401,0.0637
C12,add,2,84,10,94,2,2,2,2,0,,,0.119,8.4
C12,sub,4,4788,3712,1076,4,4,4,4,,0,0,0.7753,0.2899
C12,sub,4,9481,2112,7369,4,4,4,4,,1,1,0.2228,3.4891
C12,sub,4,8350,6752,1598,4,4,4,4,,3,3,0.8086,0.2367
C12,add,3,725,349,1074,3,3,4,3,2,,,0.4814,2.0774
C12,sub,3,935,765,170,3,3,3,3,,1,1,0.8182,0.2222
C12,sub,3,984,496,488,3,3,3,3,,2,2,0.5041,0.9839
C12,add,2,42,39,81,2,2,2,2,1,,,0.9286,1.0769
C12,add,2,33,33,66,2,2,2,2,0,,,1.0,1.0
C12,add,2,81,43,124,2,2,3,2,1,,,0.5309,1.8837
C12,sub,3,591,284,307,3,3,3,3,,1,1,0.4805,1.081
C12,sub,2,60,49,11,2,2,2,2,,1,1,0.8167,0.2245
C12,sub,4,8577,4053,4524,4,4,4,4,,0,0,0.4725,1.1162
C12,sub,3,950,203,747,3,3,3,3,,1,1,0.2137,3.6798
C12,add,2,56,81,137,2,2,3,2,1,,,0.6914,0.6914
C12,sub,3,895,599,296,3,3,3,3,,2,2,0.6693,0.4942
C12,add,2,87,20,107,2,2,3,2,1,,,0.2299,4.35
C12,add,2,41,93,134,2,2,3,2,1,,,0.4409,0.4409
C12,sub,4,9265,2173,7092,4,4,4,4,,1,1,0.2345,3.2637
C12,add,4,1292,1218,2510,4,4,4,4,2,,,0.9427,1.0608
C12,sub,3,468,418,50,3,3,2,3,,0,0,0.8932,0.1196
C12,add,3,309,795,1104,3,3,4,3,3,,,0.3887,0.3887
C12,add,3,546,676,1222,3,3,4,3,3,,,0.8077,0.8077
C12,sub,2,88,78,10,2,2,2,2,,0,0,0.8864,0.1282
C12,sub,4,7909,7678,231,4,4,3,4,,1,1,0.9708,0.0301
C12,add,4,1960,5063,7023,4,4,4,4,2,,,0.3871,0.3871
C12,sub,4,7215,3342,3873,4,4,4,4,,2,2,0.4632,1.1589
C12,add,2,32,34,66,2,2,2,2,0,,,0.9412,0.9412
C12,sub,3,916,334,582,3,3,3,3,,1,1,0.3646,1.7425
C12,sub,4,8507,4903,3604,4,4,4,4,,1,1,0.5763,0.7351
C12,sub,3,540,345,195,3,3,3,3,,2,2,0.6389,0.5652
C12,sub,4,7139,6762,377,4,4,3,4,,2,2,0.9472,0.0558
C12,add,3,537,548,1085,3,3,4,3,2,,,0.9799,0.9799
C12,sub,4,7138,4916,2222,4,4,4,4,,1,1,0.6887,0.452
C12,add,4,2106,1253,3359,4,4,4,4,0,,,0.595,1.6808
C12,sub,3,701,461,240,3,3,3,3,,1,1,0.6576,0.5206
C12,add,4,3217,6479,9696,4,4,4,4,1,,,0.4965,0.4965
C12,sub,4,4707,4622,85,4,4,2,4,,1,1,0.9819,0.0184
C12,add,3,182,901,1083,3,3,4,3,1,,,0.202,0.202
C12,sub,3,956,843,113,3,3,3,3,,0,0,0.8818,0.134
C12,sub,2,77,57,20,2,2,2,2,,0,0,0.7403,0.3509
C12,add,3,995,885,1880,3,3,4,3,3,,,0.8894,1.1243
C12,add,4,1331,8666,9997,4,4,4,4,0,,,0.1536,0.1536
C12,add,3,722,198,920,3,3,3,3,2,,,0.2742,3.6465
C12,add,3,783,158,941,3,3,3,3,2,,,0.2018,4.9557
C12,sub,2,82,17,65,2,2,2,2,,1,1,0.2073,3.8235
C12,sub,3,521,419,102,3,3,3,3,,1,1,0.8042,0.2434
C12,add,2,35,29,64,2,2,2,2,1,,,0.8286,1.2069
C12,sub,2,93,11,82,2,2,2,2,,0,0,0.1183,7.4545
C12,add,2,90,49,139,2,2,3,2,1,,,0.5444,1.8367
C12,sub,4,5496,1237,4259,4,4,4,4,,1,1,0.2251,3.443
C12,sub,3,787,670,117,3,3,3,3,,0,0,0.8513,0.1746
C12,sub,2,65,42,23,2,2,2,2,,0,0,0.6462,0.5476
C12,add,3,456,466,922,3,3,3,3,2,,,0.9785,0.9785
C12,add,2,81,90,171,2,2,3,2,1,,,0.9,0.9
C12,sub,3,745,187,558,3,3,3,3,,2,2,0.251,2.984
C12,add,3,101,366,467,3,3,3,3,0,,,0.276,0.276
C12,add,2,29,15,44,2,2,2,2,1,,,0.5172,1.9333
C12,add,4,4508,3799,8307,4,4,4,4,3,,,0.8427,1.1866
C12,add,2,77,54,131,2,2,3,2,2,,,0.7013,1.4259
C12,sub,2,48,11,37,2,2,2,2,,0,0,0.2292,3.3636
C12,add,4,1532,4011,5543,4,4,4,4,0,,,0.3819,0.3819
C12,sub,3,146,106,40,3,3,2,3,,0,0,0.726,0.3774
C12,add,4,3812,5663,9475,4,4,4,4,1,,,0.6731,0.6731
C12,sub,3,974,477,497,3,3,3,3,,2,2,0.4897,1.0419
C12,add,2,50,65,115,2,2,3,2,1,,,0.7692,0.7692
C12,add,2,67,62,129,2,2,3,2,1,,,0.9254,1.0806
C12,add,2,44,74,118,2,2,3,2,1,,,0.5946,0.5946
C12,sub,3,767,232,535,3,3,3,3,,0,0,0.3025,2.306
C12,sub,4,5000,1542,3458,4,4,4,4,,3,3,0.3084,2.2425
C12,sub,4,9029,3156,5873,4,4,4,4,,2,2,0.3495,1.8609
C12,add,3,826,823,1649,3,3,4,3,1,,,0.9964,1.0036
C12,add,2,84,45,129,2,2,3,2,1,,,0.5357,1.8667
C12,sub,2,99,67,32,2,2,2,2,,0,0,0.6768,0.4776
C12,add,2,93,28,121,2,2,3,2,2,,,0.3011,3.3214
C12,sub,4,5758,3683,2075,4,4,4,4,,1,1,0.6396,0.5634
C12,sub,3,998,139,859,3,3,3,3,,1,1,0.1393,6.1799
C12,add,3,675,393,1068,3,3,4,3,2,,,0.5822,1.7176
C12,sub,4,7030,6063,967,4,4,3,4,,3,3,0.8624,0.1595
C12,add,3,355,698,1053,3,3,4,3,3,,,0.5086,0.5086
C12,sub,2,43,31,12,2,2,2,2,,0,0,0.7209,0.3871
C12,sub,4,6643,4374,2269,4,4,4,4,,2,2,0.6584,0.5187
C12,sub,4,9825,8791,1034,4,4,4,4,,1,1,0.8948,0.1176
C12,add,4,3994,3790,7784,4,4,4,4,2,,,0.9489,1.0538
C12,add,3,724,142,866,3,3,3,3,0,,,0.1961,5.0986
C12,sub,2,94,47,47,2,2,2,2,,1,1,0.5,1.0
C12,sub,3,960,642,318,3,3,3,3,,1,1,0.6687,0.4953
C12,add,3,729,915,1644,3,3,4,3,2,,,0.7967,0.7967
C12,sub,3,399,315,84,3,3,2,3,,0,0,0.7895,0.2667
C12,sub,4,8641,5477,3164,4,4,4,4,,2,2,0.6338,0.5777
C12,add,2,98,76,174,2,2,3,2,2,,,0.7755,1.2895
C12,sub,4,8840,4003,4837,4,4,4,4,,1,1,0.4528,1.2083
C12,add,3,853,579,1432,3,3,4,3,3,,,0.6788,1.4732
C12,add,3,323,685,1008,3,3,4,3,2,,,0.4715,0.4715
C12,sub,2,83,27,56,2,2,2,2,,1,1,0.3253,2.0741
C12,sub,3,638,306,332,3,3,3,3,,0,0,0.4796,1.085
C12,sub,3,423,290,133,3,3,3,3,,1,1,0.6856,0.4586
C12,sub,3,708,271,437,3,3,3,3,,1,1,0.3828,1.6125
C12,sub,4,4551,2027,2524,4,4,4,4,,1,1,0.4454,1.2452
C12,add,2,51,15,66,2,2,2,2,0,,,0.2941,3.4
C12,sub,3,585,215,370,3,3,3,3,,0,0,0.3675,1.7209
C12,add,2,38,96,134,2,2,3,2,2,,,0.3958,0.3958
C12,add,3,299,612,911,3,3,3,3,2,,,0.4886,0.4886
C12,add,4,3368,6093,9461,4,4,4,4,2,,,0.5528,0.5528
C12,sub,3,627,297,330,3,3,3,3,,1,1,0.4737,1.1111
C12,sub,3,951,812,139,3,3,3,3,,1,1,0.8538,0.1712
C12,sub,4,9506,4145,5361,4,4,4,4,,1,1,0.436,1.2934
C12,add,3,928,574,1502,3,3,4,3,3,,,0.6185,1.6167
C12,add,3,121,997,1118,3,3,4,3,2,,,0.1214,0.1214
C12,add,3,420,228,648,3,3,3,3,0,,,0.5429,1.8421
C12,add,3,903,580,1483,3,3,4,3,1,,,0.6423,1.5569
C12,sub,4,9978,5521,4457,4,4,4,4,,0,0,0.5533,0.8073
C12,sub,4,6768,5991,777,4,4,3,4,,2,2,0.8852,0.1297
C12,sub,3,774,151,623,3,3,3,3,,0,0,0.1951,4.1258
C12,add,3,741,151,892,3,3,3,3,0,,,0.2038,4.9073
C12,sub,2,98,65,33,2,2,2,2,,0,0,0.6633,0.5077
C12,add,4,8164,1020,9184,4,4,4,4,0,,,0.1249,8.0039
C12,sub,3,449,389,60,3,3,2,3,,1,1,0.8664,0.1542
C12,sub,3,383,155,228,3,3,3,3,,1,1,0.4047,1.471
C12,sub,2,25,13,12,2,2,2,2,,0,0,0.52,0.9231
C12,add,2,78,52,130,2,2,3,2,2,,,0.6667,1.5
C12,add,2,55,54,109,2,2,3,2,1,,,0.9818,1.0185
C12,add,4,3215,6515,9730,4,4,4,4,1,,,0.4935,0.4935
C12,sub,3,221,119,102,3,3,3,3,,1,1,0.5385,0.8571
C12,add,2,94,11,105,2,2,3,2,1,,,0.117,8.5455
C12,sub,3,542,396,146,3,3,3,3,,2,2,0.7306,0.3687
C12,add,3,633,214,847,3,3,3,3,0,,,0.3381,2.9579
C12,sub,4,6018,2904,3114,4,4,4,4,,1,1,0.4826,1.0723
C12,sub,4,6584,5724,860,4,4,3,4,,1,1,0.8694,0.1502
C12,sub,2,22,11,11,2,2,2,2,,0,0,0.5,1.0
C12,add,2,10,27,37,2,2,2,2,0,,,0.3704,0.3704
C12,add,2,98,42,140,2,2,3,2,2,,,0.4286,2.3333
C12,add,2,83,15,98,2,2,2,2,0,,,0.1807,5.5333
C12,add,2,98,23,121,2,2,3,2,2,,,0.2347,4.2609
C12,add,2,26,30,56,2,2,2,2,0,,,0.8667,0.8667
C12,add,4,2662,3304,5966,4,4,4,4,0,,,0.8057,0.8057
C12,sub,3,976,559,417,3,3,3,3,,1,1,0.5727,0.746
C12,sub,2,63,44,19,2,2,2,2,,1,1,0.6984,0.4318
C12,sub,4,3787,3445,342,4,4,3,4,,0,0,0.9097,0.0993
C12,sub,4,9284,4707,4577,4,4,4,4,,2,2,0.507,0.9724
C12,sub,4,8001,4760,3241,4,4,4,4,,2,2,0.5949,0.6809
C12,add,2,82,51,133,2,2,3,2,1,,,0.622,1.6078
C12,sub,2,56,41,15,2,2,2,2,,0,0,0.7321,0.3659
C12,add,4,6082,2555,8637,4,4,4,4,1,,,0.4201,2.3804
C12,sub,3,574,345,229,3,3,3,3,,1,1,0.601,0.6638
C12,sub,2,97,44,53,2,2,2,2,,0,0,0.4536,1.2045
C12,add,2,16,28,44,2,2,2,2,1,,,0.5714,0.5714
C12,sub,4,9386,7564,1822,4,4,4,4,,1,1,0.8059,0.2409
C12,sub,2,94,41,53,2,2,2,2,,0,0,0.4362,1.2927
C12,add,4,1300,3012,4312,4,4,4,4,0,,,0.4316,0.4316
C12,sub,4,7177,3885,3292,4,4,4,4,,2,2,0.5413,0.8474
C12,sub,4,9664,8025,1639,4,4,4,4,,1,1,0.8304,0.2042
C12,sub,3,865,598,267,3,3,3,3,,2,2,0.6913,0.4465
C12,add,2,52,77,129,2,2,3,2,1,,,0.6753,0.6753
C12,sub,3,986,471,515,3,3,3,3,,0,0,0.4777,1.0934
C12,sub,3,543,209,334,3,3,3,3,,1,1,0.3849,1.5981
C12,add,3,865,515,1380,3,3,4,3,2,,,0.5954,1.6796
C12,sub,4,6748,6479,269,4,4,3,4,,2,2,0.9601,0.0415
C12,add,2,69,49,118,2,2,3,2,2,,,0.7101,1.4082
C12,sub,4,9705,8799,906,4,4,3,4,,3,3,0.9066,0.103
C12,add,3,881,485,1366,3,3,4,3,2,,,0.5505,1.8165
C12,add,2,87,39,126,2,2,3,2,2,,,0.4483,2.2308
C12,add,2,12,63,75,2,2,2,2,0,,,0.1905,0.1905
C12,sub,2,68,57,11,2,2,2,2,,0,0,0.8382,0.193
C12,sub,3,874,223,651,3,3,3,3,,0,0,0.2551,2.9193
C12,add,4,6079,2310,8389,4,4,4,4,0,,,0.38,2.6316
C12,sub,2,63,39,24,2,2,2,2,,1,1,0.619,0.6154
C12,add,3,536,332,868,3,3,3,3,0,,,0.6194,1.6145
C12,add,2,57,14,71,2,2,2,2,1,,,0.2456,4.0714
C12,add,3,559,613,1172,3,3,4,3,2,,,0.9119,0.9119
C12,sub,3,805,340,465,3,3,3,3,,1,1,0.4224,1.3676
C12,add,4,1699,6318,8017,4,4,4,4,3,,,0.2689,0.2689
C12,add,3,391,255,646,3,3,3,3,1,,,0.6522,1.5333
C12,sub,3,753,333,420,3,3,3,3,,0,0,0.4422,1.2613
C12,sub,3,872,454,418,3,3,3,3,,1,1,0.5206,0.9207
C12,sub,4,8525,5964,2561,4,4,4,4,,2,2,0.6996,0.4294
C12,sub,4,4309,3792,517,4,4,3,4,,2,2,0.88,0.1363
C12,sub,2,42,24,18,2,2,2,2,,1,1,0.5714,0.75
C12,sub,3,877,562,315,3,3,3,3,,0,0,0.6408,0.5605
C12,add,2,39,92,131,2,2,3,2,2,,,0.4239,0.4239
C12,add,4,1485,6323,7808,4,4,4,4,1,,,0.2349,0.2349
C12,sub,3,769,478,291,3,3,3,3,,1,1,0.6216,0.6088
C12,add,4,4682,3217,7899,4,4,4,4,0,,,0.6871,1.4554
C12,add,2,44,35,79,2,2,2,2,0,,,0.7955,1.2571
C12,sub,2,82,60,22,2,2,2,2,,0,0,0.7317,0.3667
C12,add,3,673,270,943,3,3,3,3,1,,,0.4012,2.4926
C12,add,4,1443,8497,9940,4,4,4,4,2,,,0.1698,0.1698
C12,sub,4,7772,3647,4125,4,4,4,4,,1,1,0.4692,1.1311
C12,add,3,367,488,855,3,3,3,3,2,,,0.752,0.752
C12,sub,4,7306,3299,4007,4,4,4,4,,2,2,0.4515,1.2146
C12,sub,2,90,55,35,2,2,2,2,,1,1,0.6111,0.6364
C12,add,2,27,64,91,2,2,2,2,1,,,0.4219,0.4219
C12,sub,4,8403,2656,5747,4,4,4,4,,3,3,0.3161,2.1638
C12,sub,3,563,209,354,3,3,3,3,,1,1,0.3712,1.6938
C12,sub,2,90,32,58,2,2,2,2,,1,1,0.3556,1.8125
C12,sub,4,7763,4921,2842,4,4,4,4,,1,1,0.6339,0.5775
C12,sub,3,909,851,58,3,3,2,3,,1,1,0.9362,0.0682
C12,add,3,851,482,1333,3,3,4,3,2,,,0.5664,1.7656
C12,add,2,59,39,98,2,2,2,2,1,,,0.661,1.5128
C12,add,2,59,84,143,2,2,3,2,2,,,0.7024,0.7024
C12,sub,4,8455,2730,5725,4,4,4,4,,1,1,0.3229,2.0971
C12,add,3,628,864,1492,3,3,4,3,2,,,0.7269,0.7269
C12,add,3,125,700,825,3,3,3,3,0,,,0.1786,0.1786
C12,sub,4,8229,4790,3439,4,4,4,4,,2,2,0.5821,0.718
C12,sub,4,9449,4184,5265,4,4,4,4,,1,1,0.4428,1.2584
C12,add,4,5322,4163,9485,4,4,4,4,0,,,0.7822,1.2784
C12,add,2,50,70,120,2,2,3,2,1,,,0.7143,0.7143
C12,sub,4,9012,6298,2714,4,4,4,4,,3,3,0.6988,0.4309
C12,add,4,1783,4039,5822,4,4,4,4,2,,,0.4414,0.4414
C12,sub,3,701,606,95,3,3,2,3,,2,2,0.8645,0.1568
C12,sub,2,29,13,16,2,2,2,2,,0,0,0.4483,1.2308
C12,add,2,53,63,116,2,2,3,2,1,,,0.8413,0.8413
C12,sub,3,969,752,217,3,3,3,3,,0,0,0.7761,0.2886
C12,sub,3,760,750,10,3,3,2,3,,0,0,0.9868,0.0133
C12,add,2,81,48,129,2,2,3,2,1,,,0.5926,1.6875
C12,sub,3,696,210,486,3,3,3,3,,0,0,0.3017,2.3143
C12,sub,3,675,307,368,3,3,3,3,,1,1,0.4548,1.1987
C12,sub,3,858,583,275,3,3,3,3,,1,1,0.6795,0.4717
C12,sub,2,33,21,12,2,2,2,2,,0,0,0.6364,0.5714
C12,add,3,108,252,360,3,3,3,3,1,,,0.4286,0.4286
C12,add,4,2363,1941,4304,4,4,4,4,2,,,0.8214,1.2174
C12,add,2,56,54,110,2,2,3,2,2,,,0.9643,1.037
C12,sub,4,3339,2235,1104,4,4,4,4,,0,0,0.6694,0.494
C12,sub,4,9723,9003,720,4,4,3,4,,0,0,0.9259,0.08
C12,add,2,36,96,132,2,2,3,2,2,,,0.375,0.375
C12,add,3,536,696,1232,3,3,4,3,3,,,0.7701,0.7701
C12,add,2,61,68,129,2,2,3,2,1,,,0.8971,0.8971
C12,sub,3,679,369,310,3,3,3,3,,0,0,0.5434,0.8401
C12,add,4,3698,4814,8512,4,4,4,4,3,,,0.7682,0.7682
C12,add,2,53,40,93,2,2,2,2,0,,,0.7547,1.325
C12,add,2,78,21,99,2,2,2,2,0,,,0.2692,3.7143
C12,add,4,2090,3504,5594,4,4,4,4,0,,,0.5965,0.5965
C12,add,2,94,64,158,2,2,3,2,1,,,0.6809,1.4688
C12,sub,3,946,570,376,3,3,3,3,,1,1,0.6025,0.6596
C12,sub,3,667,306,361,3,3,3,3,,0,0,0.4588,1.1797
C12,add,3,740,166,906,3,3,3,3,1,,,0.2243,4.4578
C12,add,2,50,75,125,2,2,3,2,1,,,0.6667,0.6667
C12,add,2,48,75,123,2,2,3,2,2,,,0.64,0.64
C12,sub,2,74,20,54,2,2,2,2,,0,0,0.2703,2.7
C12,sub,3,936,696,240,3,3,3,3,,1,1,0.7436,0.3448
C12,add,2,22,48,70,2,2,2,2,1,,,0.4583,0.4583
C12,sub,3,813,465,348,3,3,3,3,,2,2,0.572,0.7484
C12,add,3,319,913,1232,3,3,4,3,2,,,0.3494,0.3494
C12,sub,2,69,28,41,2,2,2,2,,0,0,0.4058,1.4643
C12,add,4,3133,6600,9733,4,4,4,4,0,,,0.4747,0.4747
C12,add,2,53,81,134,2,2,3,2,1,,,0.6543,0.6543
C12,sub,2,70,59,11,2,2,2,2,,1,1,0.8429,0.1864
C12,sub,4,2775,1954,821,4,4,3,4,,1,1,0.7041,0.4202
C12,add,2,38,54,92,2,2,2,2,1,,,0.7037,0.7037
C12,sub,4,9818,4147,5671,4,4,4,4,,1,1,0.4224,1.3675
C12,add,4,1410,7835,9245,4,4,4,4,1,,,0.18,0.18
C12,add,4,5043,2995,8038,4,4,4,4,2,,,0.5939,1.6838
C12,add,2,18,83,101,2,2,3,2,2,,,0.2169,0.2169
C12,sub,3,980,545,435,3,3,3,3,,1,1,0.5561,0.7982
C12,add,2,15,78,93,2,2,2,2,1,,,0.1923,0.1923
C12,add,2,42,66,108,2,2,3,2,1,,,0.6364,0.6364
